 z	coord_comovil	dist_luminosa	dist_angular 
   1.00000005E-03   4.28177929       4.28606081       4.27750158    
   3.00000003E-03   12.8395491       12.8780680       12.8011456    
   6.00000005E-03   25.6617203       25.8156910       25.5086670    
   9.99999978E-03   42.7308540       43.1581650       42.3077812    
   1.50000006E-02   64.0236435       64.9839935       63.0774803    
   2.10000016E-02   89.5107651       91.3904953       87.6697006    
   2.80000009E-02   119.156906       122.493301       115.911385    
   3.60000022E-02   152.920563       158.425705       147.606720    
   4.50000018E-02   190.754089       199.338013       182.539810    
   5.50000034E-02   232.603439       245.396622       220.477203    
   6.60000071E-02   278.408173       296.783112       261.170898    
   7.80000091E-02   328.101349       353.693237       304.361145    
   9.10000056E-02   381.609436       416.335876       349.779510    
  0.105000004       438.852234       484.931702       397.151337    
  0.120000005       499.743073       559.712280       446.199158    
  0.136000007       564.188477       640.918152       496.644745    
  0.153000012       632.088318       728.797852       548.211914    
  0.171000019       703.336243       823.606750       600.628723    
  0.190000027       777.819336       925.605103       653.629700    
  0.210000023       855.418457       1035.05640       706.957397    
  0.231000021       936.008789       1152.22681       760.364502    
  0.253000021       1019.45947       1277.38281       813.614929    
  0.276000023       1105.63513       1410.79053       866.485229    
  0.300000012       1194.39502       1552.71338       918.765381    
  0.325000018       1285.59436       1703.41272       970.259949    
  0.351000011       1379.08472       1863.14355       1020.78802    
  0.378000021       1474.71399       2032.15576       1070.18433    
  0.406000018       1572.32849       2210.69385       1118.29907    
  0.435000032       1671.77161       2398.99268       1164.99756    
  0.465000033       1772.88684       2597.27930       1210.16162    
  0.496000022       1875.51624       2805.77246       1253.68738    
  0.527999997       1979.50293       3024.68042       1295.48621    
  0.560999990       2084.69043       3254.20190       1335.48401    
  0.594999969       2190.92505       3494.52539       1373.62073    
  0.629999995       2298.05493       3745.82935       1409.84961    
  0.666000009       2405.93115       4008.28174       1444.13635    
  0.703000009       2514.40918       4282.03906       1476.45862    
  0.740999997       2623.34766       4567.24805       1506.80518    
  0.779999971       2732.61133       4864.04785       1535.17493    
  0.819999993       2842.06860       5172.56494       1561.57617    
  0.861000001       2951.59521       5492.91943       1586.02649    
  0.902999997       3061.07227       5825.22070       1608.55078    
  0.945999980       3170.38525       6169.57031       1629.18054    
  0.990000010       3279.42847       6526.06299       1647.95398    
   1.03499997       3388.10181       6894.78662       1664.91504    
   1.08099997       3496.30933       7275.81982       1680.11047    
   1.12800002       3603.96606       7669.23926       1693.59302    
   1.17600000       3710.98853       8075.11182       1705.41748    
   1.22500002       3817.30396       8493.50098       1715.64221    
   1.27499998       3922.84204       8924.46680       1724.32617    
   1.32599998       4027.54150       9368.06152       1731.53125    
   1.37800002       4131.34473       9824.33887       1737.31897    
   1.43099999       4234.20068       10293.3418       1741.75281    
   1.48500001       4336.06299       10775.1172       1744.89441    
   1.53999996       4436.89160       11269.7031       1746.80762    
   1.59599996       4536.64990       11777.1436       1747.55396    
   1.65300000       4635.30713       12297.4697       1747.19458    
   1.71099997       4732.83594       12830.7178       1745.78955    
   1.76999998       4829.21240       13376.9180       1743.39807    
   1.82999992       4924.41846       13936.1045       1740.07727    
   1.89099991       5018.43799       14508.3037       1735.88318    
   1.95299995       5111.25732       15093.5430       1730.86926    
   2.01600003       5202.86914       15691.8535       1725.08936    
   2.07999992       5293.26514       16303.2549       1718.59265    
   2.14499998       5382.44092       16927.7773       1711.42810    
   2.21099997       5470.39648       17565.4434       1703.64258    
   2.27799988       5557.12988       18216.2715       1695.28064    
   2.34599996       5642.64502       18880.2891       1686.38525    
   2.41499996       5726.94629       19557.5215       1676.99744    
   2.48499990       5810.03711       20247.9785       1667.15552    
   2.55599999       5891.92578       20951.6895       1656.89709    
   2.62800002       5972.62256       21668.6758       1646.25745    
   2.70099998       6052.13379       22398.9473       1635.26990    
   2.77500010       6130.47119       23142.5293       1623.96582    
   2.85000014       6207.64795       23899.4453       1612.37610    
   2.92600012       6283.67285       24669.6992       1600.52795    
   3.00300002       6358.56152       25453.3242       1588.44897    
   3.08100009       6432.32617       26250.3262       1576.16418    
   3.16000009       6504.98242       27060.7266       1563.69788    
   3.24000001       6576.54443       27884.5469       1551.07190    
   3.32100010       6647.02539       28721.7969       1538.30725    
   3.40300012       6716.44287       29572.4980       1525.42432    
   3.48600006       6784.81055       30436.6602       1512.44104    
   3.57000017       6852.14307       31314.2969       1499.37476    
   3.65500021       6918.45947       32205.4277       1486.24255    
   3.74100018       6983.77344       33110.0703       1473.05896    
   3.82800007       7048.10156       34028.2305       1459.83875    
   3.91600013       7111.45752       34959.9297       1446.59424    
   4.00500011       7173.86035       35905.1719       1433.33875    
   4.09500027       7235.32422       36863.9805       1420.08313    
   4.18600035       7295.86768       37836.3750       1406.83911    
   4.27800035       7355.50195       38822.3438       1393.61523    
   4.37100029       7414.24512       39821.9141       1380.42163    
   4.46500015       7472.11279       40835.1016       1367.26672    
   4.55999994       7529.04297       41861.4805       1354.14441    
   4.65600014       7585.19727       42901.8789       1341.08862    
   4.75300026       7640.52148       43955.9219       1328.09338    
   4.85100031       7695.02881       45023.6133       1315.16467    
   4.95000029       7748.73584       46104.9805       1302.30847    
   5.05000019       7801.65625       47200.0195       1289.52991    
