ra,dec,z,c_par,fracDeV_r,velDisp,abs_model_mag_u,abs_model_mag_g,abs_model_mag_r,abs_model_mag_i,abs_model_mag_z,abs_petro_mag_u,abs_petro_mag_g,abs_petro_mag_r,abs_petro_mag_i,abs_petro_mag_z,color_u_r,color_g_r,mu_sup,petroR50_r,petroR90_r
248.427338,40.1530991,2.91412808E-02,3.31308699,1.00000000,120.217003,-18.0819855,-19.7923641,-20.5662365,-20.9116879,-21.1883354,-18.1144180,-19.7516537,-20.5152569,-20.8594971,-21.0992546,2.48425102,0.773872375,19.5433521,1.81603372,6.01667786
246.718796,40.9703140,2.91756094E-02,2.38607955,0.430331886,23.5629902,-17.1934319,-18.2723312,-18.6077747,-18.7987556,-18.8973255,-16.6027908,-17.7235317,-17.9890461,-17.9406471,-18.1807556,1.41434288,0.335443497,22.8870163,2.65438676,6.33357811
179.244446,61.4563789,4.24445495E-02,2.55628085,0.00000000,42.2455406,-18.1782932,-19.5843296,-20.2466068,-20.5878963,-20.8725128,-18.2994137,-19.6335087,-20.2285080,-20.4692554,-20.7207222,2.06831360,0.662277222,21.6830235,4.06856823,10.4004030
246.704376,42.6789246,3.04490700E-02,2.39269328,0.385215104,74.1922607,-17.3136292,-18.8925095,-19.6686687,-20.0214748,-20.3555374,-17.1161098,-18.9300098,-19.7409992,-20.0291653,-20.3270760,2.35503960,0.776159286,21.1681366,2.67517328,6.40086889
239.459000,48.6096458,2.06956007E-02,1.80253732,0.00000000,0.00000000,-16.6467361,-17.9628258,-18.5739670,-18.8229370,-19.0693665,-16.5731869,-17.8298359,-18.4757175,-18.6791573,-18.8866272,1.92723083,0.611141205,22.2585506,2.48935914,4.48716259
250.878281,40.5476608,3.19464207E-02,2.31150103,4.80404198E-02,58.3559685,-16.1545067,-17.8613091,-18.6627464,-19.0699043,-19.4316616,-16.3603878,-17.9222488,-18.6891575,-19.0711937,-19.4483604,2.50823975,0.801437378,21.0230465,1.53589988,3.55023408
194.908508,4.97568703,2.40420196E-02,2.98356080,0.837724388,98.2013168,-17.0734024,-18.6944714,-19.4367504,-19.7818527,-20.0359383,-17.0548630,-18.5527630,-19.2871990,-19.6208916,-19.8377800,2.36334801,0.742279053,19.7423897,1.10530460,3.29774308
249.193466,47.5454674,2.37945896E-02,2.74075580,0.924000323,0.00000000,-16.1155357,-17.2096729,-17.6139507,-17.8144531,-17.9739761,-15.9159260,-17.0593929,-17.5047512,-17.7160416,-17.9340591,1.49841499,0.404277802,20.3348656,0.650676966,1.78334677
246.723816,49.6205750,3.01250704E-02,2.44688654,0.110328801,62.5745888,-17.7300701,-19.0545979,-19.5815983,-19.8334923,-20.0130348,-17.7708797,-19.0708389,-19.5323391,-19.7590828,-19.6909828,1.85152817,0.527000427,21.9426250,3.43441725,8.40363026
229.811066,3.90428448,3.57130095E-02,2.35994148,0.124817498,99.1872635,-18.0987263,-19.4430447,-20.0926685,-20.4287281,-20.7188778,-18.0840359,-19.4735355,-20.0862560,-20.3817787,-20.6314468,1.99394226,0.649623871,21.3656998,3.27731991,7.73428345
220.159119,3.93804622,2.83404402E-02,2.53011680,0.00000000,0.00000000,-11.1865129,-17.4640675,-17.7658024,-17.9320183,-18.0691719,-7.70910311,-17.4703674,-17.7710323,-17.9140778,-18.0323811,6.57928944,0.301734924,21.9631348,1.52579284,3.86043429
227.512924,3.21520901,4.28723618E-02,2.63725495,0.904638410,144.197998,-17.2536163,-19.0752125,-19.9052677,-20.2907906,-20.6029625,-17.2349052,-18.9863338,-19.8015270,-20.1719704,-20.4839630,2.65165138,0.830055237,19.7158184,1.32486999,3.49402022
227.521362,3.15338492,4.27098684E-02,3.35958123,1.00000000,168.244995,-18.6001396,-20.4480133,-21.2631226,-21.6246052,-21.9045639,-18.6255283,-20.3665924,-21.1882629,-21.5478859,-21.8107243,2.66298294,0.815109253,18.9357891,1.75607073,5.89966249
220.151138,3.53870296,2.75463108E-02,1.98981810,4.51015197E-02,13.0346804,-16.1521111,-17.7680511,-18.4594193,-18.7786827,-19.0772152,-16.4593105,-17.7029610,-18.3959198,-18.6774120,-18.9472256,2.30730820,0.691368103,22.1959038,2.27054834,4.51797819
220.169586,3.51167488,2.78116409E-02,2.74921584,0.894355714,61.4569893,-15.7866020,-17.2721844,-17.9938107,-18.3271980,-18.5686531,-15.8714218,-17.1102543,-17.8380299,-18.1947975,-18.2517853,2.20720863,0.721626282,21.2212582,1.12023354,3.07976365
220.154037,3.46470070,2.29546409E-02,2.82912326,0.809395373,119.990402,-16.2789268,-18.3346329,-19.1500244,-19.5411816,-19.8182831,-15.7003584,-18.1730633,-19.0045033,-19.3928413,-19.6464329,2.87109756,0.815391541,19.3466797,0.816358030,2.30957723
220.143997,3.47045946,2.68559996E-02,2.46425581,0.911926210,153.991806,-16.5658588,-18.4018002,-19.1973133,-19.5596256,-19.8418179,-16.5352707,-18.3585510,-19.1569443,-19.5157661,-19.7871075,2.63145447,0.795513153,18.4913902,0.586285114,1.44475651
121.382660,39.5462837,3.99569497E-02,2.67139673,0.233776495,67.0994415,-18.1629238,-19.8919125,-20.6003170,-20.9916153,-21.2901440,-18.4491138,-19.9680424,-20.6574173,-20.9670849,-21.2122650,2.43739319,0.708404541,22.2650948,6.38721657,17.0627899
121.386543,37.4669533,3.26396003E-02,2.68616009,0.391725689,24.8556805,-16.1999855,-17.6221180,-18.1518764,-18.4331398,-18.6401901,-16.3261375,-17.6951962,-18.2282658,-18.5086479,-18.7496605,1.95189095,0.529758453,21.4684143,1.46217680,3.92764115
121.386513,37.5501938,3.37385684E-02,3.13349533,0.988835812,74.8409576,-17.1617699,-18.8026791,-19.4906635,-19.7963486,-20.0146084,-16.9922905,-18.7211819,-19.4192371,-19.7162094,-19.9001694,2.32889366,0.687984467,19.6328564,1.08402801,3.39679670
157.700638,4.72730207,3.90735790E-02,2.49453878,9.98206586E-02,175.177094,-17.6885071,-18.7198086,-18.9350185,-19.0926819,-19.0372925,-17.6430283,-18.7664394,-18.9158192,-19.0477219,-18.3637810,1.24651146,0.215209961,22.6064663,3.38767838,8.45069504
168.534424,63.3596649,3.40996385E-02,2.17165327,0.00000000,54.5410881,-18.4488792,-19.4500217,-19.9623318,-20.2372360,-20.4451332,-18.3282471,-19.4007931,-19.9383831,-20.2113876,-20.4741745,1.51345253,0.512310028,20.8123436,2.46553898,5.35429573
