ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_u petroR50_g petroR50_r petroR50_i petroR50_z
1237648672922206835 245.417659293308 -0.85560513562754 0.04565 0.782004 87.1389 19.62067 17.43309 16.55046 16.12459 15.74802 19.2266 17.27751 16.39126 15.95711 15.61498 0.3679419 0.2866979 0.1983363 0.1473851 0.1096274 3.509593 5.375978 5.249806 5.165435 5.352188 1.664219 2.228009 2.168246 2.117622 2.225154
1237648673995162093 243.583195948052 -0.0315641264387658 0.03081088 0.5558468 123.7276 18.19947 16.3881 15.47938 15.0317 14.69158 18.06095 16.20889 15.2915 14.84426 14.47095 0.5474487 0.4265683 0.295098 0.2192894 0.1631111 7.82808 6.28638 6.124577 6.062928 5.988644 3.067021 2.887618 2.828239 2.833976 2.766479
1237648702977802570 209.242409120074 -1.10170844448467 0.0305662 0.2909378 54.8158 18.50436 17.53892 16.88353 16.84271 17.26079 18.44073 17.38491 16.91231 16.64003 16.5039 0.2085567 0.162506 0.1124209 0.08354076 0.06213898 17.28634 18.37849 20.98278 43.76407 17.63485 8.391147 7.058448 8.379331 6.661358 4.281875
1237648703507857597 193.761583369374 -0.66348905425209 0.04750877 0.3951457 54.80727 19.36221 18.06497 17.48083 17.16162 16.91676 19.462 18.13658 17.5725 17.25675 17.03179 0.1059118 0.08252573 0.05709092 0.04242467 0.03155616 14.33901 3.280248 3.355438 3.568459 4.04438 1.664228 1.619555 1.683274 1.694644 1.685605
1237648703511330928 201.593437846196 -0.81657457792202 0.04305437 0.04164197 21.28288 18.47172 17.13475 16.66281 16.36457 16.21636 18.43241 17.15506 16.61828 16.32065 16.11701 0.1127162 0.08782773 0.06075881 0.04515031 0.03358354 7.524817 7.836464 7.732355 7.64831 7.291282 3.865507 4.004532 3.769552 3.773607 3.538924
1237648703523717431 229.971410634924 -0.675144454580267 0.03710405 0.2477567 71.4105 19.16904 17.9779 17.49583 17.23004 17.00855 19.06698 17.95883 17.51261 17.22481 17.003 0.2474109 0.1927809 0.1333649 0.09910442 0.07371549 3.401207 3.911452 4.337922 4.128341 4.199214 1.524627 1.760799 1.912392 1.815451 1.829579
1237648703530991714 246.532848792485 -0.684416596036119 0.04820611 0.8922435 125.0194 18.87426 17.51782 16.77884 16.31213 16.02378 18.64591 17.3633 16.641 16.16864 15.84108 0.3730407 0.2906708 0.2010847 0.1494275 0.1111466 2.962284 3.308039 3.168904 72.09814 3.246068 1.391533 1.586111 1.491732 1.520172 1.49156
1237648704053969096 214.821966661422 -0.412769222746447 0.03940544 0.1977281 49.38679 18.7641 17.56155 17.13588 16.80748 16.75346 18.96719 17.68041 17.19386 16.89042 16.67189 0.1822131 0.1419792 0.09822055 0.0729884 0.05428996 9.138741 8.842827 8.075703 7.856219 8.020869 4.076 3.963671 3.546489 3.604496 3.6852
1237648704589332671 211.397522720272 0.184984375149742 0.04767463 0.9756356 212.5273 18.33938 16.53206 15.63968 15.20678 14.84858 18.37773 16.41927 15.53273 15.0788 14.71851 0.1715365 0.1336601 0.09246545 0.06871174 0.05110891 7.302039 4.869943 4.604576 4.520257 4.643886 2.406481 2.10764 1.983734 1.959631 1.966433
1237648704602243187 240.869114145463 0.0363118331835124 0.04142144 0.4540405 76.72541 16.93038 15.70752 15.22022 14.87065 14.71653 16.51768 15.42509 14.93614 14.57546 14.35276 0.6151018 0.4792831 0.3315658 0.2463889 0.1832681 9.74764 10.24244 10.22275 10.32257 10.08787 4.327446 4.803474 4.822664 4.854672 4.571683
1237648704602243453 240.828846913499 0.0242713761427397 0.04129273 0.657563 84.74863 19.56332 17.83639 16.86926 16.4081 16.09432 19.56199 17.60616 16.65401 16.16285 15.77172 0.6143649 0.478709 0.3311687 0.2460938 0.1830486 27.92323 5.003065 5.078643 4.792606 4.532936 2.608359 2.197167 2.198038 2.080403 1.91422
1237648705124434057 207.380153138058 0.527398316731981 0.04591964 0.05538606 0 18.67436 17.6495 17.29134 17.02076 16.82536 18.78375 17.68503 17.26789 16.9728 16.78713 0.1280307 0.09976065 0.06901395 0.05128476 0.03814644 9.114148 8.533177 8.157731 7.89337 7.172138 4.085248 3.939565 3.657933 3.547679 3.620237
1237648705658880113 201.779886749455 0.969692758878389 0.04734165 0.03132351 0 18.37415 17.27166 16.86562 16.60352 16.41181 18.23973 17.23634 16.83691 16.57896 16.39004 0.1097093 0.08548471 0.05913793 0.04394582 0.03268761 4.014752 4.150568 4.362505 4.310832 4.680245 2.00287 2.102679 2.21265 2.17088 2.252555
1237648705677951792 245.423333986217 1.04833435588643 0.03242692 0 18.77161 19.55212 17.71302 17.34727 17.178 17.32409 18.83355 17.66267 17.29149 17.05723 16.98752 0.3348127 0.2608837 0.1804782 0.1341146 0.09975664 18.01721 6.133835 6.241676 5.954998 5.373267 1.634316 2.816493 2.855218 2.666372 2.223574
1237648720148562180 160.69265026597 -0.976127110238179 0.03871459 0.04473868 0 18.78793 17.95095 17.4265 17.17714 17.22099 19.10556 17.92543 17.37683 17.09731 16.94427 0.2179485 0.169824 0.1174834 0.08730279 0.06493723 14.90115 10.80979 10.90841 10.75044 9.554306 7.20801 5.659662 5.440189 5.337688 4.416866
1237648720154525835 174.326211863329 -0.865728511699884 0.04731878 1 129.9767 17.67525 15.9502 15.04677 14.5503 14.959 17.95845 16.21113 15.38632 14.97331 14.72561 0.08219492 0.06404573 0.04430654 0.03292451 0.02448978 18.06339 17.71329 16.03273 2.969725 4.856451 6.969607 6.622663 7.841823 9.451688 2.786844
1237648720171565108 213.272327046789 -0.846234466383776 0.0257723 0.806735 64.36278 17.15896 16.10709 15.57263 15.31213 15.06549 17.0147 15.99366 15.48615 15.22001 14.9992 0.2243625 0.1748217 0.1209409 0.08987202 0.06684827 4.26143 4.112924 4.33008 4.482601 4.45275 1.911284 1.815568 1.849279 1.924312 1.920066
1237648720679796961 147.869319370638 -0.56268959755636 0.0371546 0.1938478 73.17859 19.00941 17.65644 16.93884 16.52445 16.13717 19.10408 17.70037 16.96242 16.52696 16.16061 0.2717431 0.2117404 0.146481 0.1088511 0.08096521 5.741194 5.355084 5.264756 5.024972 5.019125 2.508986 2.468649 2.424277 2.349371 2.421841
