 m_medio,phi_hist
  -22.4750004     ,   18.1343384    
  -22.1250000     ,   18.8612251    
  -21.7749996     ,   19.4611244    
  -21.4249992     ,   19.9500217    
  -21.0750008     ,   20.2978210    
  -20.7250004     ,   20.4643955    
  -20.3750000     ,   20.5846539    
  -20.0249996     ,   20.6924171    
  -19.6749992     ,   20.7847633    
  -19.3250008     ,   20.8279953    
  -18.9750004     ,   20.8784561    
  -18.6250000     ,   20.9588928    
  -18.2749996     ,   21.0328617    
  -17.9249992     ,   21.1175632    
  -17.5750008     ,   21.2005291    
  -17.2250004     ,   21.2495193    
  -16.8750000     ,   21.2722454    
  -16.5249996     ,   21.2220135    
  -16.1749992     ,   21.2725792    
  -15.8250008     ,   21.3815193    
