 cls ig      ra           dec       ty 
  1   1       3.11667     -24.62139  1
  1   2       2.87875     -24.55722  3
  1   3       3.03250     -24.49667  2
  1   4       2.94208     -24.50694  4
  1   5       2.97333     -24.44861  3
  1   6       2.88458     -24.44250  3
  1   7       2.77125     -24.46500  1
  1   8       3.62542     -24.37583  3
  1   9       3.61583     -24.38417  2
  1  10       3.59417     -24.35667  3
  1  11       3.21042     -24.33778  3
  1  12       3.14542     -24.37278  3
  1  13       3.10167     -24.33945  2
  1  14       3.09583     -24.36722  3
  1  15       3.06667     -24.35944  2
  1  16       3.01167     -24.37500  1
  1  17       3.27125     -24.29000  3
  1  18       3.34583     -24.24778  3
  1  19       3.34375     -24.23195  3
  1  20       3.32333     -24.23611  3
  1  21       3.22500     -24.22806  3
  1  22       3.14917     -24.32278  3
  1  23       3.03375     -24.29778  1
  1  24       3.02750     -24.32444  3
  1  25       2.85292     -24.27417  2
  1  26       2.84792     -24.26250  2
  1  27       2.77000     -24.24806  3
  1  28       2.68500     -24.23861  3
  1  29       3.52542     -24.18250  2
  1  30       3.51083     -24.15833  2
  1  31       3.32875     -24.16667  2
  1  32       3.26833     -24.12139  2
  1  33       3.26417     -24.19111  3
  1  34       3.23708     -24.14722  3
  1  35       3.22292     -24.14250  1
  1  36       3.19208     -24.13861  1
  1  37       3.18042     -24.19278  2
  1  38       3.17833     -24.15055  3
  1  39       3.16000     -24.15972  1
  1  40       3.15708     -24.16167  1
  1  41       3.16000     -24.17000  2
  1  42       3.12250     -24.21722  1
  1  43       2.80958     -24.19083  1
  1  44       3.73875     -24.09472  3
  1  45       3.38875     -24.08972  1
  1  46       3.37875     -24.03000  3
  1  47       3.35750     -24.07055  3
  1  48       3.29583     -24.09083  3
  1  49       3.28375     -24.08805  1
  1  50       3.26000     -24.05806  2
  1  51       3.24542     -24.08472  2
  1  52       3.18042     -24.09056  3
  1  53       3.14583     -24.08750  2
  1  54       3.02500     -24.02250  3
  1  55       3.05667     -24.07889  2
  1  56       3.02958     -24.11417  2
  1  57       2.86958     -24.10194  2
  1  58       2.86042     -24.05250  2
  1  59       3.62208     -23.98556  3
  1  60       3.43917     -23.91972  2
  1  61       3.43833     -23.92972  3
  1  62       3.41417     -23.98417  3
  1  63       3.38958     -24.00917  3
  1  64       3.32292     -24.01417  3
  1  65       3.31625     -24.01417  2
  1  66       3.29708     -23.97833  2
  1  67       3.29208     -23.94528  1
  1  68       3.27917     -23.96028  2
  1  69       3.15875     -23.99472  1
  1  70       3.15292     -24.01000  3
  1  71       3.12500     -23.98333  1
  1  72       3.13292     -24.01750  3
  1  73       3.08208     -23.93500  3
  1  74       3.04208     -23.99583  1
  1  75       3.39167     -23.83139  1
  1  76       3.06208     -23.84833  2
  1  77       3.02583     -23.89417  3
  1  78       2.88792     -23.88639  3
  1  79       3.15042     -23.77222  3
  2   1       9.55708       6.10556  3
  2   2       9.47458       6.11972  2
  2   3       9.42542       6.12139  2
  2   4       9.16708       6.13194  2
  2   5       9.18375       6.17722  3
  2   6       9.04458       6.19333  2
  2   7       9.00375       6.16389  3
  2   8       8.84667       6.18361  1
  2   9       9.53958       6.28528  3
  2  10       9.20042       6.31917  3
  2  11       9.17542       6.29667  3
