 logrho,rho,tipo
  0.241097987     ,   1.74219990     ,           1
  0.281215876     ,   1.91080284     ,           3
  0.731189549     ,   5.38504744     ,           2
  0.550732195     ,   3.55412078     ,           4
  0.737820148     ,   5.46789503     ,           3
  0.621313870     ,   4.18132448     ,           3
  0.386377543     ,   2.43431926     ,           1
   7.50533044E-02 ,   1.18864810     ,           3
  0.111392744     ,   1.29238749     ,           2
  0.185239092     ,   1.53193057     ,           3
  0.810371220     ,   6.46206379     ,           3
  0.843163908     ,   6.96889496     ,           3
  0.959669888     ,   9.11317921     ,           2
  0.860538125     ,   7.25334120     ,           3
  0.897521734     ,   7.89808321     ,           2
  0.887976408     ,   7.72638655     ,           1
  0.843163908     ,   6.96889496     ,           3
  0.779881716     ,   6.02395487     ,           3
  0.843163908     ,   6.96889496     ,           3
  0.907281637     ,   8.07758713     ,           3
   1.20831251     ,   16.1552067     ,           3
  0.994432092     ,   9.87261295     ,           3
  0.737820148     ,   5.46789503     ,           1
  0.869492888     ,   7.40445185     ,           3
  0.653105974     ,   4.49889612     ,           2
  0.596490026     ,   3.94902635     ,           2
  0.360398263     ,   2.29296947     ,           3
  0.124214381     ,   1.33111131     ,           3
  0.486273527     ,   3.06389260     ,           2
  0.596490026     ,   3.94902635     ,           2
   1.15279508     ,   14.2165775     ,           2
   1.47155440     ,   29.6179066     ,           2
   1.29546285     ,   19.7452602     ,           3
   1.40460753     ,   25.3867741     ,           3
   1.55073571     ,   35.5414925     ,           1
   1.50934303     ,   32.3104477     ,           1
   1.47155440     ,   29.6179066     ,           2
   1.47155440     ,   29.6179066     ,           3
   1.43679214     ,   27.3395977     ,           1
   1.40460753     ,   25.3867741     ,           1
   1.32028651     ,   20.9067478     ,           2
   1.03222084     ,   10.7701263     ,           1
  0.341214716     ,   2.19388938     ,           1
  0.120973311     ,   1.32121444     ,           3
   1.03222084     ,   10.7701263     ,           1
   1.10357702     ,   12.6933708     ,           3
   1.17052388     ,   14.8089361     ,           3
   1.29546285     ,   19.7452602     ,           3
   1.34661543     ,   22.2134190     ,           1
   1.24970520     ,   17.7707291     ,           2
   1.24970520     ,   17.7707291     ,           2
   1.34661543     ,   22.2134190     ,           3
   1.29546285     ,   19.7452602     ,           2
  0.927485049     ,   8.46223450     ,           3
  0.948674440     ,   8.88534832     ,           2
  0.887976408     ,   7.72638655     ,           2
  0.586944699     ,   3.86317754     ,           2
  0.490033746     ,   3.09053540     ,           2
  0.325420260     ,   2.11553526     ,           3
  0.787305892     ,   6.12781811     ,           2
  0.851764083     ,   7.10827303     ,           3
   1.07361376     ,   11.8471451     ,           3
   1.15279508     ,   14.2165775     ,           3
   1.34661543     ,   22.2134190     ,           3
   1.34661543     ,   22.2134190     ,           2
   1.07361376     ,   11.8471451     ,           2
  0.907281637     ,   8.07758713     ,           1
  0.927485049     ,   8.46223450     ,           2
   1.01925576     ,   10.4533558     ,           1
   1.04558480     ,   11.1066942     ,           3
  0.994432092     ,   9.87261295     ,           1
   1.17052388     ,   14.8089361     ,           3
  0.802545846     ,   6.34666872     ,           3
  0.994432092     ,   9.87261295     ,           1
  0.546410680     ,   3.51893067     ,           1
  0.621313870     ,   4.18132448     ,           2
  0.718224406     ,   5.22666216     ,           3
  0.357605428     ,   2.27827120     ,           3
  0.366038680     ,   2.32294369     ,           3
  0.505206108     ,   3.20041347     ,           3
  0.625121713     ,   4.21814680     ,           2
  0.647494137     ,   4.44113684     ,           2
  0.685457528     ,   4.84682703     ,           2
  0.813191175     ,   6.50415945     ,           3
  0.783414364     ,   6.07315493     ,           2
  0.641792059     ,   4.38320780     ,           3
  0.446007669     ,   2.79259324     ,           1
   1.04928291     ,   11.2016726     ,           3
   1.08971179     ,   12.2945261     ,           3
   1.15842807     ,   14.4021740     ,           3
   1.02580154     ,   10.6121044     ,           4
  0.954306543     ,   9.00132656     ,           2
   1.17745149     ,   15.0470543     ,           2
   1.31333101     ,   20.5745792     ,           2
   1.34076929     ,   21.9164028     ,           1
   1.45945954     ,   28.8044434     ,           2
   1.40146732     ,   25.2038727     ,           1
   1.31333101     ,   20.5745792     ,           3
  0.866803050     ,   7.35873270     ,           3
  0.896313965     ,   7.87614965     ,           2
   1.12846470     ,   13.4420252     ,           3
   1.51216602     ,   32.5211563     ,           3
