cls   ra         dec        z    Mr01      ur    mur     kr50    C    stellarmass    sfr    ssfr     Dn4000   class   Zc   sigma     Mvir      Rvir   R200   w   dist     Pe   Ps    
  10     131.418198   44.632702   0.053   -19.033   2.302   20.347   1.332   2.829   9.985    -1.172   -11.218   1.827   -1      0.054   331.689   5.449E13   0.71    0.821   0.355   0.242   0.17    0.76   
  10     131.455902   44.5784     0.054   -20.083   2.407   19.208   1.275   2.837   10.461   -1.118   -11.641   1.766   5       0.054   331.689   5.449E13   0.71    0.821   0.084   0.211   0.67    0.2    
  10     131.380096   45.037201   0.053   -19.918   1.507   20.266   1.945   2.256   9.972    0.171    -9.861    1.297   1       0.054   331.689   5.449E13   0.71    0.821   0.105   1.619   0.39    0.53   
  10     131.520493   44.611      0.054   -19.046   2.051   21.042   1.843   2.262   9.89     -0.844   -10.775   1.554   2       0.054   331.689   5.449E13   0.71    0.821   0.35    0.398   0.17    0.83   
  10     131.456894   44.5509     0.054   -21.534   2.629   19.456   2.788   3.102   11.149   -0.387   -11.581   2.021   2       0.054   331.689   5.449E13   0.71    0.821   0.011   0.237   0.85    0.12   
  10     131.445908   44.6759     0.054   -19.123   2.113   21.484   2.338   2.315   9.963    -0.844   -10.872   1.42    2       0.054   331.689   5.449E13   0.71    0.821   0.314   0.41    0.44    0.38   
  10     131.300507   44.582001   0.054   -19.275   2.387   19.876   1.196   2.842   10.111   -1.22    -11.401   1.989   2       0.054   331.689   5.449E13   0.71    0.821   0.255   0.186   0.73    0.14   
  10     131.336304   44.5397     0.053   -20.691   2.631   20.052   2.494   2.757   10.817   -0.985   -11.865   1.931   5       0.054   331.689   5.449E13   0.71    0.821   0.036   0.153   0.4     0.6    
  10     131.323105   44.481998   0.053   -19.081   2.103   20.089   1.207   2.519   9.889    -0.988   -10.929   1.766   -1      0.054   331.689   5.449E13   0.71    0.821   0.332   0.35    0.31    0.69   
  10     131.274994   44.606602   0.054   -21.578   2.542   20.948   5.657   2.045   11.123   -0.575   -11.768   1.982   4       0.054   331.689   5.449E13   0.71    0.821   0.011   0.264   0.04    0.96   
  10     131.338303   44.580399   0.053   -19.755   2.513   19.258   1.124   2.676   10.357   -1.308   -11.721   1.864   -1      0.054   331.689   5.449E13   0.71    0.821   0.131   0.07    0.71    0.11   
  10     131.338501   44.520599   0.053   -20.925   2.796   18.213   1.189   2.966   11.007   -1.146   -12.223   1.989   4       0.054   331.689   5.449E13   0.71    0.821   0.026   0.208   0.69    0.2    
  10     131.358398   44.699902   0.054   -20.552   2.427   19.847   2.123   3.179   10.631   -0.911   -11.585   1.841   -1      0.054   331.689   5.449E13   0.71    0.821   0.044   0.448   0.79    0.17   
  10     131.275497   44.588699   0.054   -21.579   2.499   19.505   2.912   3.314   11.15    -0.229   -11.445   1.76    5       0.054   331.689   5.449E13   0.71    0.821   0.011   0.246   0.79    0.21   
  10     131.348602   44.595901   0.051   -18.84    2.226   20.609   1.38    2.622   9.979    -0.834   -10.868   1.595   2       0.054   331.689   5.449E13   0.71    0.821   0.461   0.095   0.52    0.39   
  10     131.3461     44.391998   0.054   -20.444   2.543   18.827   1.267   3.096   10.634   -1.317   -11.981   1.912   -1      0.054   331.689   5.449E13   0.71    0.821   0.051   0.654   0.67    0.3    
