  cls    ig     type   clase    smass     u         g        r         sfr      Mcoldgas  Mhotgas  Tau    OH       bt    ssfr    
  18     214214   1      CL     9.214    -16.699   -17.633   -18.142   -0.908   8.992    9.707    4.801   9.851    0.0     -10.122  
  13     204792   1      RI     9.139    -16.983   -17.843   -18.275   -0.748   9.139    9.871    4.059   9.759    0.0     -9.887   
  1      14624    0      IN     9.893    -18.581   -19.44    -19.939   -0.061   9.994    10.532   3.349   10.033   0.019   -9.954   
  1      30684    0      IL     9.426    -17.953   -18.743   -19.124   -0.309   9.109    10.252   3.406   9.879    0.0     -9.735   
  29     233538   1      IL     10.635   -17.224   -19.177   -20.271   99.0     9.156    10.917   6.486   10.228   1.0     99.0     
  18     8928     0      IL     10.155   -16.58    -18.36    -19.343   99.0     9.69     10.895   6.481   9.94     0.912   99.0     
  30     4482     0      IL     10.437   -17.498   -19.231   -20.187   99.0     99.0     11.269   5.886   13.996   1.0     99.0     
  22     217469   1      IL     9.197    -16.453   -17.446   -18.008   -0.811   9.442    9.768    3.96    9.786    0.0     -10.008  
  10     211619   1      RI     9.479    -16.817   -17.82    -18.415   -0.877   9.336    9.755    5.445   9.969    0.0     -10.356  
  10     211742   1      IN     10.052   -18.028   -19.089   -19.73    -0.22    9.46     10.525   4.654   9.99     0.548   -10.272  
  29     19984    0      IN     10.092   -16.641   -18.408   -19.396   99.0     9.34     10.403   4.786   9.996    0.99    99.0     
  8      198425   1      CL     10.002   -16.201   -17.978   -18.961   99.0     99.0     99.0     6.528   13.996   0.989   99.0     
  32     211968   1      IN     9.397    -16.474   -17.549   -18.171   99.0     8.92     9.591    5.685   9.878    0.445   99.0     
  31     185601   1      IN     9.335    -16.719   -17.701   -18.253   -0.925   8.827    9.941    5.108   9.891    0.0     -10.26   
  8      80767    0      IL     9.017    -15.48    -16.65    -17.299   99.0     8.941    9.733    6.052   9.474    0.0     99.0     
  8      20625    0      CL     10.659   -16.501   -18.486   -19.658   99.0     99.0     8.291    0.034   13.996   1.0     99.0     
  9      81896    0      IL     9.067    -15.21    -16.463   -17.176   99.0     8.787    9.299    7.082   9.222    0.934   99.0     
