 z	coord_comovil	dist_luminosa	dist_angular 
   1.00000005E-03   2.99724555       3.00024271       2.99425101    
   3.00000003E-03   8.98768425       9.01464748       8.96080208    
   6.00000005E-03   17.9632034       18.0709839       17.8560677    
   9.99999978E-03   29.9115982       30.2107162       29.6154442    
   1.50000006E-02   44.8165474       45.4887924       44.1542358    
   2.10000016E-02   62.6575356       63.9733429       61.3687859    
   2.80000009E-02   83.4098358       85.7453156       81.1379700    
   3.60000022E-02   107.044395       110.897995       103.324707    
   4.50000018E-02   133.527863       139.536606       127.777870    
   5.50000034E-02   162.822418       171.777634       154.334045    
   6.60000071E-02   194.885727       207.748184       182.819626    
   7.80000091E-02   229.670944       247.585266       213.052811    
   9.10000056E-02   267.126587       291.435120       244.845657    
  0.105000004       307.196564       339.452179       278.005951    
  0.120000005       349.820160       391.798584       312.339417    
  0.136000007       394.931915       448.642700       347.651306    
  0.153000012       442.461823       510.158478       383.748322    
  0.171000019       492.335358       576.524719       420.440094    
  0.190000027       544.473572       647.923584       457.540771    
  0.210000023       598.792908       724.539429       494.870178    
  0.231000021       655.206116       806.558777       532.255188    
  0.253000021       713.621643       894.167969       569.530396    
  0.276000023       773.944580       987.553345       606.539612    
  0.300000012       836.076477       1086.89941       643.135742    
  0.325000018       899.916077       1192.38892       679.181946    
  0.351000011       965.359314       1304.20044       714.551636    
  0.378000021       1032.29980       1422.50903       749.128967    
  0.406000018       1100.62988       1547.48560       782.809326    
  0.435000032       1170.24011       1679.29480       815.498352    
  0.465000033       1241.02075       1818.09546       847.113159    
  0.496000022       1312.86145       1964.04077       877.581116    
  0.527999997       1385.65198       2117.27637       906.840332    
  0.560999990       1459.28333       2277.94116       934.838684    
  0.594999969       1533.64746       2446.16772       961.534485    
  0.629999995       1608.63843       2622.08057       986.894775    
  0.666000009       1684.15186       2805.79712       1010.89545    
  0.703000009       1760.08643       2997.42749       1033.52112    
  0.740999997       1836.34338       3197.07373       1054.76367    
  0.779999971       1912.82800       3404.83350       1074.62244    
  0.819999993       1989.44800       3620.79541       1093.10327    
  0.861000001       2066.11670       3845.04346       1110.21851    
  0.902999997       2142.75073       4077.65430       1125.98560    
  0.945999980       2219.26978       4318.69922       1140.42639    
  0.990000010       2295.60010       4568.24414       1153.56787    
   1.03499997       2371.67114       4826.35059       1165.44055    
   1.08099997       2447.41650       5093.07373       1176.07715    
   1.12800002       2522.77637       5368.46729       1185.51514    
   1.17600000       2597.69214       5652.57812       1193.79224    
   1.22500002       2672.11279       5945.45068       1200.94971    
   1.27499998       2745.98926       6247.12695       1207.02820    
   1.32599998       2819.27905       6557.64307       1212.07190    
   1.37800002       2891.94116       6877.03711       1216.12329    
   1.43099999       2963.94067       7205.33936       1219.22693    
   1.48500001       3035.24414       7542.58203       1221.42615    
   1.53999996       3105.82397       7888.79248       1222.76538    
   1.59599996       3175.65503       8244.00098       1223.28772    
   1.65300000       3244.71509       8608.22852       1223.03625    
   1.71099997       3312.98511       8981.50293       1222.05273    
   1.76999998       3380.44873       9363.84277       1220.37866    
   1.82999992       3447.09277       9755.27344       1218.05396    
   1.89099991       3512.90649       10155.8125       1215.11829    
   1.95299995       3577.87988       10565.4805       1211.60840    
   2.01600003       3642.00854       10984.2979       1207.56250    
   2.07999992       3705.28564       11412.2783       1203.01477    
   2.14499998       3767.70874       11849.4434       1197.99963    
   2.21099997       3829.27759       12295.8096       1192.54980    
   2.27799988       3889.99097       12751.3896       1186.69653    
   2.34599996       3949.85156       13216.2021       1180.46960    
   2.41499996       4008.86255       13690.2646       1173.89819    
   2.48499990       4067.02588       14173.5850       1167.00891    
   2.55599999       4124.34814       14666.1826       1159.82788    
   2.62800002       4180.83545       15168.0723       1152.38037    
   2.70099998       4236.49365       15679.2637       1144.68896    
   2.77500010       4291.32959       16199.7695       1136.77612    
   2.85000014       4345.35352       16729.6113       1128.66321    
   2.92600012       4398.57080       17268.7891       1120.36951    
   3.00300002       4450.99316       17817.3281       1111.91431    
   3.08100009       4502.62842       18375.2285       1103.31494    
   3.16000009       4553.48779       18942.5078       1094.58838    
   3.24000001       4603.58105       19519.1816       1085.75037    
   3.32100010       4652.91797       20105.2578       1076.81506    
   3.40300012       4701.50977       20700.7480       1067.79700    
   3.48600006       4749.36768       21305.6621       1058.70874    
   3.57000017       4796.50049       21920.0078       1049.56238    
   3.65500021       4842.92139       22543.8008       1040.36975    
   3.74100018       4888.64111       23177.0508       1031.14136    
   3.82800007       4933.67090       23819.7617       1021.88708    
   3.91600013       4978.02051       24471.9492       1012.61591    
   4.00500011       5021.70215       25133.6191       1003.33710    
   4.09500027       5064.72705       25804.7852       994.058228    
   4.18600035       5107.10742       26485.4629       984.787354    
   4.27800035       5148.85107       27175.6406       975.530640    
   4.37100029       5189.97168       27875.3398       966.295166    
   4.46500015       5230.47900       28584.5703       957.086731    
   4.55999994       5270.33008       29303.0352       947.901062    
   4.65600014       5309.63818       30031.3145       938.761963    
   4.75300026       5348.36523       30769.1445       929.665283    
   4.85100031       5386.52002       31516.5293       920.615234    
   4.95000029       5424.11523       32273.4844       911.615967    
   5.05000019       5461.15918       33040.0156       902.670959    
