objID,ra,dec,z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1237648675603808635,239.15138455562,1.06863771134874,0.04958897,18.96732,17.64879,17.33607,17.15557,17.06326,18.68742,17.38063,16.91847,16.65045,16.45192
1237648702979375244,212.91961159459,-1.05213958540601,0.0241675,20.84748,17.65214,17.19746,17.19623,18.56833,19.25387,17.57657,17.19298,16.98901,17.02637
1237648704048464069,202.212350493857,-0.36546274911196,0.02179444,19.02605,18.00967,17.5065,17.2207,17.11718,18.68373,17.74325,17.28668,17.08212,16.96107
1237648704048464089,202.22296493021,-0.322685079559375,0.04613728,17.50921,16.02278,15.3346,15.02351,14.75049,17.18507,15.72415,15.00004,14.63665,14.33394
1237648704585334815,202.204704939723,0.0495083553239221,0.04820528,17.8018,16.03562,15.27753,14.93706,14.89879,17.75635,16.04258,15.24174,14.87119,14.56691
1237648704593526913,220.943241945918,0.207403661435206,0.0284143,18.54426,17.40953,17.01064,16.77512,16.74665,18.47112,17.41714,17.03688,16.82427,16.66887
1237648704601457169,239.14194212914,0.0522535337814882,0.0395749,20.18492,18.47812,17.58532,17.17626,16.83513,20.16671,18.34927,17.47103,17.05507,16.72915
1237648705115914384,187.937531118948,0.511878436384592,0.02255391,19.81146,18.3882,17.68227,17.31254,17.24631,19.6884,18.11146,17.40048,17.01663,16.80412
1237648705115914386,187.939818192627,0.452582187907367,0.02241663,19.89856,18.20271,17.57587,17.2523,17.14017,19.58159,18.05707,17.39157,17.03726,16.80434
1237648705128300801,216.141941128993,0.505227513402867,0.03168992,19.03434,18.04275,17.64443,17.43876,17.31715,19.07974,18.11889,17.71273,17.48627,17.30425
1237648705138786497,240.136764364773,0.49859355044893,0.03556547,17.08224,15.17854,14.31512,13.89466,13.60703,16.97662,15.0439,14.17983,13.76494,13.44083
1237648705652785286,187.921812178839,0.959248946723593,0.02322375,18.94126,17.43763,16.68715,16.31528,16.05235,18.83486,17.17969,16.43512,16.07081,15.80036
1237648705669890106,226.918594050649,0.910552875527959,0.04768648,19.28701,17.72844,16.95852,16.59113,16.29951,19.31176,17.59269,16.81209,16.45387,16.12619
1237648720154525835,174.326211863329,-0.865728511699884,0.04731878,17.67525,15.9502,15.04677,14.5503,14.959,17.95845,16.21113,15.38632,14.97331,14.72561
1237648720166715580,202.208818443475,-0.908488084241867,0.02165733,18.42214,17.12753,16.53148,16.22864,15.98838,18.3271,17.11525,16.51097,16.22396,15.95873
1237648721218371802,151.823099026824,-0.0786824675714199,0.04651895,18.52041,16.81133,16.1475,15.7436,15.51258,18.40841,16.8315,16.1427,15.72289,15.4353
1237648721219748023,154.864283732507,-0.0345391738197167,0.04713511,18.44351,16.8867,16.31763,16.01243,15.94652,18.37732,16.88301,16.28039,15.94014,15.78495
1237648721238294705,197.290161813792,-0.199075086743702,0.0279758,18.62009,17.6619,17.16778,16.93133,16.67821,18.69554,17.6571,17.1252,16.83077,16.54683
1237648721248714923,221.014555521655,2.48012554580943E-05,0.03386968,17.60724,16.42483,15.93141,15.61386,15.57443,17.62875,16.33077,15.68501,15.29477,15.00389
1237648721251270996,226.913834623967,-0.109463805792269,0.0383857,17.73156,15.67795,14.81838,14.40908,14.07493,17.63607,15.59568,14.72686,14.30423,13.96081
1237648721746854047,132.642423377552,0.21456430425742,0.04142756,19.13571,17.95145,17.32315,17.03954,16.99307,19.05234,17.85793,17.32896,17.02398,16.83243
1237649918429036677,15.4029934534396,13.5399423449257,0.04054264,19.05842,17.63568,16.92405,16.50243,16.25039,19.05189,17.63242,16.91991,16.48868,16.1912
1237649918967414923,19.02245016666,13.9074715855427,0.0468175,17.75696,16.72516,16.34453,16.07295,15.92895,17.83845,16.75058,16.35098,16.09792,15.91327
1237649920047251639,33.3658903475776,13.468376903113,0.04151913,17.89665,16.55458,15.92102,15.56707,15.37321,18.01964,16.6261,15.94186,15.5448,15.23989
1237649954409349340,33.3715819223601,13.539367014835,0.04215007,19.565,18.32539,17.81165,17.49328,17.46406,19.86392,18.4589,17.91966,17.55618,17.50981
1237650372100096153,197.278033194577,-1.30751198955373,0.02434641,18.21726,17.08821,16.81717,16.59639,16.45712,18.28632,17.12344,16.75258,16.51098,16.34899
1237650762386833444,171.526270033511,-1.83364524890394,0.04486487,17.57857,15.85825,14.43839,14.41132,14.02786,17.15745,15.53509,14.32792,14.07361,13.61101
1237650796217565477,140.626603111966,0.147219219459019,0.02568343,18.78176,17.67478,17.39224,17.24358,18.87949,18.58916,17.6185,17.34279,17.16661,17.77966
1237651066277986385,177.107223087901,64.5958246971964,0.04169445,18.82602,17.54317,16.99365,16.63093,16.3487,18.64833,17.42077,16.89943,16.54452,16.29044
1237651190819192960,127.0062779876,48.3139286206633,0.04932304,18.58853,17.80547,17.54123,17.38081,17.64833,18.62405,17.73478,17.47587,17.26989,17.23052
1237651191361372300,140.831817691121,57.1401820023738,0.04995311,18.87806,17.57593,16.92906,16.59334,16.49554,19.06552,17.62019,16.91419,16.52489,16.29246
1237651203157590127,198.27360577657,-0.594684833962893,0.04006456,18.56438,16.56028,16.13329,15.88065,15.89584,17.99148,16.52407,16.08967,15.78902,15.62116
1237651211213996225,257.197220916229,57.1689266011858,0.02989852,17.85494,16.72575,16.31089,16.07871,15.99354,17.84781,16.69526,16.24551,15.97544,15.77643
1237651212286623828,257.168835536466,59.8114605220222,0.03085051,17.00041,15.88124,15.44828,15.23497,15.21356,16.93878,15.86566,15.44956,15.23409,15.10968
1237651213359448305,257.190513650563,62.0433692749688,0.0261576,16.65073,15.1247,14.31595,13.88387,13.61405,16.80825,15.21995,14.36175,13.92845,13.59447
1237651224635506842,257.148851436242,57.8299678718489,0.02960011,19.30745,17.88111,17.69381,17.42904,17.37398,18.96768,17.90897,17.67736,17.49629,17.3664
1237651224635507034,257.147575525764,57.8102039645096,0.02958246,17.81366,16.13535,15.96308,15.77987,15.76119,17.35573,16.2056,15.95817,15.78502,15.69658
1237651249881940093,154.126819448252,60.3054972337035,0.0314831,19.19494,17.60778,16.7831,16.36802,16.12042,19.33958,17.6459,16.80983,16.35351,16.01501
1237651250415206535,140.638413705667,56.2254387152314,0.04911887,18.37394,17.44277,17.15298,16.85716,16.6642,18.40455,17.48041,17.11105,16.8211,16.65386
1237651250432835749,220.988842910008,59.5183326192564,0.0430913,18.61639,17.64289,17.33202,17.07339,17.13065,18.89467,17.80935,17.42757,17.17115,17.03457
1237651250442862854,247.90377836583,43.3848997223526,0.03146865,18.34404,16.64281,15.92944,15.60226,15.47891,18.21353,16.60697,15.89029,15.53372,15.30349
1237651250952339629,140.838529767252,56.9481864342472,0.04961986,19.89525,18.35737,17.50615,17.13176,16.74497,20.0123,18.26814,17.4305,17.04054,16.70407
1237651250955878511,154.113570216062,61.4640966146277,0.02380821,18.77942,17.88608,17.64607,17.49848,17.37178,18.7038,17.837,17.55506,17.40093,17.24084
1237651251503497319,208.473567175219,63.4436169633153,0.03605206,18.66987,17.54346,17.12126,16.9359,17.30463,18.72061,17.56743,17.11966,16.87092,16.75977
1237651271883686138,121.457636236982,45.9454276276142,0.03931989,17.95602,16.69524,16.11939,15.80262,15.52139,18.40047,16.78939,16.01527,15.63247,15.33071
1237651271883948307,122.103364562345,46.3674858426617,0.03199466,18.36479,17.17186,16.56152,16.31798,16.14466,18.35932,17.11754,16.5465,16.2291,15.97874
1237651271901642891,191.4808502204,66.6063289267032,0.04821121,18.48268,16.68851,15.89857,15.52994,15.24311,18.40662,16.58283,15.78718,15.41569,15.14348
1237651272420688127,121.357120735066,46.2874010251348,0.02889943,19.00084,17.4231,16.59801,16.13551,15.80826,19.09682,17.38845,16.5262,16.04755,15.66178
1237651272422850789,125.644280216122,50.4407765698387,0.02425525,18.91373,17.98707,17.53376,17.31294,16.97968,18.88249,17.83753,17.34202,17.11139,16.82659
1237651272425799806,132.644328744267,55.539739644314,0.04582901,17.04128,15.87044,15.37864,15.07655,15.06186,16.76978,15.55578,14.97192,14.62289,14.38919
1237651272960573553,127.029555155737,52.1970054771403,0.04113282,17.65578,16.49046,16.00551,15.69176,15.54034,17.79117,16.54546,15.99584,15.66582,15.45841
1237651272972697700,175.501257801672,67.2829741403074,0.04872566,18.61983,17.70942,17.41047,17.17632,17.1876,18.75046,17.71508,17.37512,17.14065,17.01458
1237651273494954261,121.352398455962,47.7442005494767,0.0221326,18.76854,17.48408,16.75833,16.43286,16.15888,18.75303,17.38186,16.73298,16.36578,16.04724
1237651274036936933,132.653941336966,57.3596514684701,0.02610464,16.75935,15.16386,14.37842,13.97873,13.62298,16.79967,15.06689,14.24108,13.8088,13.41752
1237651274044997711,166.619239495227,67.4901698944956,0.0207331,17.9055,16.47329,15.93603,15.68038,15.68645,17.8903,16.52496,15.90038,15.60103,15.36991
1237651495221330128,121.341348536214,45.8753303921453,0.04720154,19.39143,18.21573,17.77356,17.46392,17.33526,19.14137,17.99898,17.54067,17.19669,17.02477
1237651495221396083,121.4345473934,46.0244785732532,0.02245461,19.13977,18.10242,17.38814,17.04683,17.02091,19.58908,18.04343,17.34149,16.95749,16.84438
1237651495758594245,121.352900818534,46.9356809266992,0.02175053,18.35517,17.1643,16.61953,16.34348,16.26979,18.39274,17.17568,16.62785,16.36008,16.17889
1237651505953505419,202.199239490226,1.18945741025096,0.03266014,17.93293,17.05175,16.73547,16.57557,16.4834,18.00445,17.08729,16.78933,16.59679,16.44667
1237651538182340818,220.929815958195,62.176241328902,0.0483592,19.99977,18.38956,17.57186,17.20646,16.89011,20.16296,18.36624,17.52241,17.12252,16.80942
1237651538186403870,234.970345683749,56.3683377066318,0.04593902,17.4668,16.45674,16.12138,15.87542,15.76334,17.23187,16.29371,15.97636,15.72149,15.59486
1237645943978590386,55.5854993277786,1.02147552172556,0.03758542,19.18088,17.12538,16.51771,16.11128,16.15263,18.80279,17.16058,16.46665,16.05672,15.76566
1237648702993531230,245.138814048416,-1.0956254314423,0.02051811,17.92034,16.32305,15.32735,14.8813,14.52238,17.96945,16.36567,15.38007,14.90084,14.51195
1237648704040861800,184.852447834926,-0.294097392647684,0.03897807,18.18045,17.07951,16.73346,16.56975,16.29265,18.04597,17.06197,16.722,16.5454,16.34999
1237648705133478263,228.009334231813,0.477261568046312,0.04933764,19.27722,18.09323,17.48922,17.11305,16.85854,19.44932,18.11353,17.47403,17.06372,16.78604
1237648705139376639,241.519406920053,0.512583016337878,0.04841565,18.86204,17.53839,16.83765,16.39319,16.20227,18.98631,17.53444,16.79633,16.35649,16.04873
1237648705665368137,216.554092893465,0.860580768014072,0.03182086,17.07956,15.52059,14.93545,14.62895,14.41911,16.89883,15.35378,14.79559,14.50731,14.33247
1237648705668120636,222.869837714958,0.907748900573852,0.04336261,18.65502,17.01672,16.21071,15.77442,15.42354,18.82392,17.13294,16.29627,15.84516,15.47158
1237648720717742498,234.59302623491,-0.462110974910637,0.0391009,17.68019,15.91056,15.07016,14.64736,14.32558,17.64816,15.80118,14.94779,14.5161,14.16835
1237648721249501273,222.866101869282,0.00115981326886886,0.04260311,18.36717,17.41493,17.16817,16.96413,16.86539,18.30268,17.40432,17.16745,16.96424,16.82475
1237648721251271240,226.836740180008,-0.120652315308601,0.03557758,18.76884,17.49348,16.97426,16.85276,17.04743,18.65867,17.37237,16.87037,16.61792,16.40497
1237648721757929562,157.940530750743,0.387937550407085,0.02836903,16.6309,15.58458,15.13174,14.92064,14.74706,16.60368,15.60907,15.17583,14.97156,14.79663
1237648721757995234,157.998780403452,0.228680931063166,0.02876168,19.66878,18.33352,17.8666,17.58172,17.5142,19.64676,18.37776,17.96601,17.72138,17.56434
1237648721757995340,157.997950034058,0.27569110567758,0.02851265,19.19889,18.25574,17.88656,17.71446,17.60925,19.40037,18.21871,17.83287,17.60822,17.50951
1237648721771823259,189.692801119278,0.418281032133142,0.04750386,18.58379,17.50784,17.0935,16.84109,16.6244,18.48512,17.51038,17.13933,16.90276,16.75754
1237648721771823351,189.693647066863,0.322531069446184,0.02280918,17.5176,15.73187,14.91259,14.47583,14.20436,17.67551,15.88661,15.02652,14.59518,14.27259
1237648721771823374,189.700595152365,0.270026803502946,0.02273661,18.05998,16.44415,15.64427,15.27726,15.00245,18.1611,16.3956,15.60388,15.22577,14.91934
1237648721771888860,189.759222867524,0.257056612188386,0.0219085,19.91345,18.48503,17.80356,17.49895,17.14922,19.87529,18.48756,17.82372,17.50138,17.25079
1237648722306596955,184.855129965571,0.630965458452032,0.02166561,17.37594,15.67033,14.89605,14.52433,14.24524,17.32904,15.53545,14.7447,14.36592,14.0923
1237648722833965258,163.079642521331,1.20927048973767,0.04167077,19.61347,18.49397,17.79109,17.69794,17.8939,19.45574,18.28271,17.79884,17.54445,17.44429
1237648722837241973,170.606064894311,1.18945894486738,0.02982276,18.61358,17.19493,16.48252,16.13127,15.88088,18.64425,17.27798,16.5842,16.21555,15.88706
1237648722845630588,189.749177624511,1.25204288171357,0.04588205,19.08028,17.91108,17.66109,17.47657,17.50354,18.95073,17.98828,17.81506,17.57298,17.52479
1237649918965252123,13.885993788407,14.1675015149468,0.04930286,18.02423,17.08413,16.70054,16.42705,16.30886,17.71147,16.7939,16.43426,16.14774,15.99622
1237649918965252193,13.8785753255967,14.1569226002089,0.04949602,18.578,17.38966,16.92174,16.5752,16.39912,18.63465,17.40896,16.90521,16.55142,16.31004
1237649919505793073,22.5494066290254,13.9205921173273,0.03610851,17.99589,16.65991,16.23155,15.80231,15.66891,18.03301,16.69686,16.22904,15.77982,15.45666
1237649919508414482,28.6017017320602,13.5411199823564,0.02071127,16.7481,15.0106,14.166,13.71605,13.42651,16.78232,14.94809,14.05954,13.61568,13.28118
1237649920580911179,25.7673254679038,14.524361810919,0.028434,19.41224,18.25709,17.65512,17.26904,17.07236,19.20909,18.15805,17.55302,17.24419,17.02783
1237649921112735765,13.8858969326022,15.7758248301575,0.0374556,17.4958,16.23906,15.67299,15.33147,15.11238,17.54068,16.3258,15.73464,15.38419,15.11439
1237649954404761730,22.5715025020183,14.6551643376788,0.02388938,17.25837,15.94207,15.36591,15.03842,14.8814,17.32415,15.95215,15.32355,14.98962,14.75895
1237649961383755999,55.5390498141568,-7.4379548098032,0.03351963,16.90127,15.08029,14.22496,13.79885,13.5168,16.98535,15.06838,14.18784,13.7354,13.40096
1237649961383756141,55.5071758852413,-7.41748683661943,0.03338844,19.5821,17.79797,17.27996,17.03858,17.22138,18.97572,17.7303,17.28375,17.04759,16.90213
1237650369950646512,192.830369336591,-3.04099722280346,0.0478659,19.02888,17.85026,17.32712,16.99363,16.84033,18.98939,17.8586,17.35955,17.01778,16.82487
1237650371015802996,173.18032361057,-2.1997076893152,0.04165886,16.73932,15.44075,14.78097,14.40153,14.13581,16.58029,15.32607,14.64454,14.25685,13.91812
1237650371557785727,184.861915377853,-1.69975425056564,0.02992357,18.69091,17.80684,17.61753,17.51518,17.43,18.80569,17.85582,17.58755,17.42797,17.35971
1237650372089610344,173.258034434581,-1.36775571745166,0.04460659,18.02134,17.04498,16.68315,16.41188,16.4012,18.25037,17.19017,16.75526,16.46972,16.29029
1237650760241381426,176.119986392215,-3.5708642821565,0.04808371,17.79219,15.84579,14.79093,14.25242,13.8078,17.73874,15.57342,14.53807,13.98159,13.53881
