ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_r petroR90_r
1237655472894574692 248.427343749246 40.153097321784 0.02914128 1 120.217 17.48894 15.79527 15.02449 14.65696 14.40128 17.52137 15.75456 14.97351 14.60477 14.3122 0.0382032 0.02976768 0.02059314 0.01530291 0.01138255 9.156492 8.906213 8.687495 8.545666 7.736176 3.256093 10.78772
1237655472357114077 246.718794038023 40.9703150277563 0.02917561 0.4303319 23.56299 18.99039 17.81604 17.54642 17.5733 17.31858 18.39975 17.26724 16.92769 16.71519 16.60201 0.02541744 0.0198051 0.01370107 0.01018137 0.007573066 27.92878 12.20869 10.99469 9.209986 10.13416 4.753832 11.34302
1237655370364354632 197.377642385712 62.1627958149042 0.02740937 0.9653555 147.2487 17.08165 15.30336 14.47496 14.07049 13.8155 17.03353 15.16977 14.34726 13.95168 13.65427 0.05806426 0.04524328 0.03129909 0.02325858 0.01730011 12.83298 11.25574 11.39134 11.66183 10.38896 4.787675 14.32259
1237655368750006426 179.244452186685 61.4563794451908 0.04244455 0 42.24554 18.22626 16.81707 16.1946 15.91886 15.6428 18.34738 16.86625 16.1765 15.80022 15.49101 0.1227133 0.09561735 0.06614764 0.04915479 0.03656213 13.79636 12.95758 11.32589 10.93469 10.3398 5.088725 13.00821
1237655348895350927 246.70438127901 42.6789252526311 0.03044907 0.3852151 74.19226 18.59186 16.71994 15.90005 15.5876 15.27303 18.39434 16.75744 15.97238 15.59529 15.24457 0.04538468 0.03536343 0.02446426 0.01817957 0.01352226 6.796006 9.574934 9.689908 9.212248 8.939436 4.59771 11.00091
1237655348891943083 239.458992725487 48.6096469629415 0.0206956 0 0 18.32271 16.99872 16.3338 16.10023 15.87177 18.24916 16.86573 16.23555 15.95645 15.68903 0.08760105 0.06825814 0.04722067 0.03509002 0.02610053 11.92023 12.48758 13.0891 12.59654 12.50743 6.221203 11.21395
1237655347812827143 223.039816076428 55.8994326391742 0.03796312 0.9561811 161.8059 16.86768 15.09291 14.18563 13.90836 13.67065 16.91181 14.9207 14.06338 13.69225 13.40457 0.05968265 0.04650431 0.03217147 0.02390685 0.0177823 25.78479 15.2526 16.10937 15.07539 13.89645 7.352917 21.63103
1237655129304137975 250.878285405392 40.5476618550347 0.03194642 0.04804042 58.35597 19.4574 17.83682 17.06025 16.65349 16.25934 19.66328 17.89776 17.08666 16.65478 16.27604 0.04855195 0.03783135 0.02617155 0.01944827 0.01446594 6.49597 5.794494 5.494914 5.435386 5.268319 2.520482 5.826097
1237655125550694410 194.908511711045 4.97568696405377 0.02404202 0.8377244 98.20132 18.25383 16.67051 15.89737 15.52221 15.27593 18.23529 16.5288 15.74782 15.36125 15.07777 0.1694769 0.1320553 0.09135521 0.06788671 0.05049524 7.175027 5.608889 5.574649 5.413783 5.136699 2.387417 7.123004
1237655108899242117 129.285131066112 45.1649430926837 0.03852624 0.4047615 127.8891 16.87837 15.14954 14.47738 14.09464 13.81408 16.90862 15.20658 14.48869 14.09814 13.81602 0.1229029 0.09576513 0.06624988 0.04923076 0.03661864 11.13425 12.16138 11.69578 11.68279 11.29642 5.675611 12.78267
